Disease/Trait,Total Mapped Genes,EUR-Only Genes,Shared Genes,SAS-Only Genes,Total EUR Genes,Total SAS Genes
Triacylglycerol 52:6(FA14:0) (Model 1),1,1,0,0,1,0
Triacylglycerol 50:1(FA16:1) (Model 1),1,1,0,0,1,0
Triacylglycerol 50:0(FA18:0) (Model 1),1,1,0,0,1,0
Triacylglycerol 50:0(FA16:0) (Model 1),1,1,0,0,1,0
Triacylglycerol 50:0(FA14:0) (Model 1),1,1,0,0,1,0
Eicosanedioate (C20-DC) levels,1,0,1,0,1,1
Adverse response to chemotherapy in colorectal cancer (XELOX) (Hand foot syndrome),1,1,0,0,1,0
Triacylglycerol 49:3(FA18:3) (Model 1),1,1,0,0,1,0
CD33 on Granulocytic Myeloid-Derived Suppressor Cells,1,1,0,0,1,0
FADD/PLIN3 protein level ratio,1,1,0,0,1,0
FABP4/SNCG protein level ratio,1,1,0,0,1,0
FABP1/SULT2A1 protein level ratio,1,1,0,0,1,0
FABP1/RBP5 protein level ratio,1,1,0,0,1,0
1-hour glucose during pregnancy,1,0,1,0,1,1
Fasting glucose during pregnancy,1,0,1,0,1,1
Triacylglycerol (50:3) [NL-18:1] levels,1,1,0,0,1,0
Triacylglycerol 51:0(FA18:0) (Model 1),1,1,0,0,1,0
Triacylglycerol 51:0(FA17:0) (Model 1),1,1,0,0,1,0
Triacylglycerol 51:0(FA16:0) (Model 1),1,1,0,0,1,0
N-stearoyltaurine levels,1,1,0,0,1,0
N-palmitoyltaurine levels,1,1,0,0,1,0
Ceramide (d34:2) levels,1,1,0,0,1,0
Ceramide (d33:1) levels,1,1,0,0,1,0
Ceramide (d32:1) levels,1,1,0,0,1,0
DTI autoptx MO fma tract,1,1,0,0,1,0
DTI autoptx MO cst r tract,1,1,0,0,1,0
Pneumococcal meningitis x streptococcus pneumoniae genotype cluster interaction,1,1,0,0,1,0
Alcohol dependence (time spent drinking),1,1,0,0,1,0
Alcohol dependence (desire to cut drinking),1,1,0,0,1,0
Alcohol dependence (drinking more than intended),1,1,0,0,1,0
Alcohol dependence (tolerance),1,1,0,0,1,0
Triacylglycerol 52:0(FA16:0) (Model 1),1,1,0,0,1,0
Peak insulin response (insulin secretion adjusted),1,1,0,0,1,0
Body mass index (physical activity interaction),1,0,1,0,1,1
Sphingomyelin (d40:2)B levels,1,1,0,0,1,0
Sphingomyelin (d39:2) levels,1,1,0,0,1,0
Lysophosphatidylcholines (20:1) levels,1,1,0,0,1,0
(R)-3-hydroxybutyrylcarnitine levels,1,0,1,0,1,1
Circulating IRAK1 levels,1,1,0,0,1,0
4-hydroxy-2-oxoglutaric acid levels,1,1,0,0,1,0
"2s,3R-dihydroxybutyrate levels",1,1,0,0,1,0
Acylcarnitine (10:1) levels,1,1,0,0,1,0
Acylcarnitine (10:0) levels,1,1,0,0,1,0
CD33 on CD14+ monocyte,1,1,0,0,1,0
CD127 on CD28+ CD45RA- CD8+ T cell,1,1,0,0,1,0
CD25 on resting CD4 regulatory T cell,1,1,0,0,1,0
CD45 on HLA DR+ CD4+ T cell,1,1,0,0,1,0
CD45 on HLA DR+ T cell,1,1,0,0,1,0
Bacteremia and sepsis,1,1,0,0,1,0
Phosphatidylinositols (18:0/22:5) (Model 1),1,1,0,0,1,0
Sphingomyelin (d42:2)A levels,1,1,0,0,1,0
Sphingomyelin (d42:1) levels,1,1,0,0,1,0
Sphingomyelin (d41:2)A levels,1,1,0,0,1,0
Sphingomyelin (d40:3) levels,1,1,0,0,1,0
Follicle stimulating hormone levels in idiopathic male infertility,1,1,0,0,1,0
Epigenetic age acceleration (Horvath) in childhood cancer survivors,1,1,0,0,1,0
T1 FreeSurfer BA rh BA2 exvivo area,1,1,0,0,1,0
T1 FreeSurfer BA lh BA45 exvivo volume,1,1,0,0,1,0
T1 FreeSurfer BA lh BA2 exvivo volume,1,1,0,0,1,0
FCRL2/KLB protein level ratio,1,1,0,0,1,0
FCGR2B/NOS3 protein level ratio,1,1,0,0,1,0
FCGR2A/FCGR2B protein level ratio,1,1,0,0,1,0
FCER2/TREML2 protein level ratio,1,1,0,0,1,0
Acute insulin response (insulin secretion adjusted),1,1,0,0,1,0
Plexin-C1 levels,1,0,1,0,1,1
Waist-to-hip ratio adjusted for BMI in smokers,1,0,1,0,1,1
Subclinical trait of interstitial lung disease (percentage of high attenuation areas on CT scan),1,1,0,0,1,0
Docosahexaenoylcarnitine (C22:6) levels,1,1,0,0,1,0
Epigenetic age acceleration (Hannum) in childhood cancer survivors,1,1,0,0,1,0
Sphingomyelin (d42:3) levels,1,1,0,0,1,0
Sphingomyelin (d42:2)B levels,1,1,0,0,1,0
Phosphatidylinositols (18:0/16:0) (Model 1),1,1,0,0,1,0
3-hydroxyoleate levels,1,1,0,0,1,0
T1 FreeSurfer aseg Left-Caudate,1,1,0,0,1,0
REST UKBBICA NET100 0593,1,1,0,0,1,0
T1 FreeSurfer pial rh postcentral area,1,1,0,0,1,0
T1 FreeSurfer pial rh parstriangularis area,1,1,0,0,1,0
T1 FreeSurfer BA rh BA3a exvivo thickness,1,1,0,0,1,0
T1 FreeSurfer BA rh entorhinal exvivo area,1,1,0,0,1,0
T1 FreeSurfer BA rh BA45 exvivo area,1,1,0,0,1,0
Triglycerides (48:2)A levels,1,1,0,0,1,0
Triglycerides (48:1) levels,1,1,0,0,1,0
Triglycerides (46:3)B levels,1,1,0,0,1,0
Triglycerides (46:3)A levels,1,1,0,0,1,0
Triglycerides (46:2) levels,1,1,0,0,1,0
Triglycerides (44:1) levels,1,1,0,0,1,0
Fatty acids (15:0) levels,1,1,0,0,1,0
Fatty acids (14:0) levels,1,1,0,0,1,0
T1 CAT volume Vermis IX,1,1,0,0,1,0
T1 CAT volume L VIIIb,1,1,0,0,1,0
T1 CAT volume Vermis CrusII,1,1,0,0,1,0
Hexadecenedioate (C16:1-DC) levels,1,0,1,0,1,1
Peripheral autonomic neuropathy (PheCode 337.1),1,1,0,0,1,0
Diglycerides (32:1) levels,1,1,0,0,1,0
Ceramide (d44:1) levels,1,1,0,0,1,0
Phosphatidylcholines (36:5)C levels,1,1,0,0,1,0
T1 FreeSurfer a2009s lh S postcentral volume,1,1,0,0,1,0
T1 FreeSurfer a2009s lh G temp sup-Lateral volume,1,1,0,0,1,0
T1 FreeSurfer a2009s lh G front sup volume,1,1,0,0,1,0
Diglycerides (36:3) levels,1,1,0,0,1,0
Cerebrospinal fluid protein CAP2 levels,1,1,0,0,1,0
Cerebrospinal fluid protein BPIFB1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein BCAM levels,1,1,0,0,1,0
Cerebrospinal fluid protein ASAH1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein PODXL levels,1,1,0,0,1,0
T1 FreeSurfer a2009s lh G front inf-Triangul volume,1,1,0,0,1,0
CD160/KIR2DL3 protein level ratio,1,1,0,0,1,0
T1 FreeSurfer DK rh MeanThickness thickness,1,1,0,0,1,0
T1 FreeSurfer DK rh superiorparietal thickness,1,1,0,0,1,0
CD127 on CD28+ CD4-CD8- T cell,1,1,0,0,1,0
CD45 on granulocyte,1,1,0,0,1,0
Triglycerides (49:0) levels,1,1,0,0,1,0
T1 FreeSurfer a2009s rh S collat transv ant area,1,1,0,0,1,0
Cerebrospinal fluid protein PRPH levels,1,1,0,0,1,0
Cerebrospinal fluid protein PDCD1LG2 levels,1,1,0,0,1,0
Cerebrospinal fluid protein MAPT levels,1,1,0,0,1,0
Cerebrospinal fluid protein BTD levels,1,1,0,0,1,0
Cerebrospinal fluid protein B2M levels,1,1,0,0,1,0
Cerebrospinal fluid protein BDH2 levels,1,1,0,0,1,0
Cerebrospinal fluid protein ALCAM levels,1,1,0,0,1,0
Cerebrospinal fluid protein ADGRE5 levels,1,1,0,0,1,0
Cerebrospinal fluid protein GGT5 levels,1,1,0,0,1,0
Cerebrospinal fluid protein GFRA3 levels,1,1,0,0,1,0
T1 FreeSurfer a2009s rh G temporal middle area,1,1,0,0,1,0
T1 FreeSurfer a2009s rh G pariet inf-Supramar area,1,1,0,0,1,0
T1 FreeSurfer a2009s rh G oc-temp med-Parahip area,1,1,0,0,1,0
REST UKBBICA NET100 1349,1,1,0,0,1,0
REST UKBBICA NET100 1287,1,1,0,0,1,0
Cerebrospinal fluid protein FAM3B levels,1,1,0,0,1,0
Cerebrospinal fluid protein ENPP6 levels,1,1,0,0,1,0
Cerebrospinal fluid protein ENDOU levels,1,1,0,0,1,0
Cerebrospinal fluid protein ENTPD3 levels,1,1,0,0,1,0
Cerebrospinal fluid protein NRXN3 levels,1,1,0,0,1,0
Cerebrospinal fluid protein NQO1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein EGFLAM levels,1,1,0,0,1,0
Cerebrospinal fluid protein EDN1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein GLT8D2 levels,1,1,0,0,1,0
Cerebrospinal fluid protein DNAJB4 levels,1,1,0,0,1,0
T1 FreeSurfer a2009s rh G oc-temp med-Parahip volume,1,1,0,0,1,0
T1 FreeSurfer a2009s rh G cingul-Post-ventral volume,1,1,0,0,1,0
T1 FreeSurfer a2009s rh G front inf-Opercular thickness,1,1,0,0,1,0
T1 FreeSurfer a2009s rh S temporal sup area,1,1,0,0,1,0
T1 FreeSurfer a2009s rh S postcentral area,1,1,0,0,1,0
T1 FreeSurfer a2009s rh S orbital med-olfact area,1,1,0,0,1,0
Cerebrospinal fluid protein TEK levels,1,1,0,0,1,0
Cerebrospinal fluid protein GLRX2 levels,1,1,0,0,1,0
Cerebrospinal fluid protein GLO1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein GCNT1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein GBP1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein FCRL2 levels,1,1,0,0,1,0
Cerebrospinal fluid protein FCAR levels,1,1,0,0,1,0
Cerebrospinal fluid protein FAM3D levels,1,1,0,0,1,0
Cerebrospinal fluid protein EEIG1 levels,1,1,0,0,1,0
Serum C-reactive protein concentration in low fat diet,1,1,0,0,1,0
Serum C-reactive protein concentration in non-obese individuals,1,1,0,0,1,0
Information processing speed (symbol digit substitution),1,1,0,0,1,0
CD164/SIAE protein level ratio,1,1,0,0,1,0
CD164/NUDT5 protein level ratio,1,1,0,0,1,0
DTI autoptx L2 cgc l tract,1,1,0,0,1,0
Cerebrospinal fluid protein GFRA1 levels,1,1,0,0,1,0
CLSPN protein levels,1,1,0,0,1,0
CLNS1A protein levels,1,1,0,0,1,0
Cerebrospinal fluid protein MAD1L1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein SLC5A5 levels,1,1,0,0,1,0
Cerebrospinal fluid protein IL1RL2 levels,1,1,0,0,1,0
Cerebrospinal fluid protein IL17D levels,1,1,0,0,1,0
Cerebrospinal fluid protein IL12RB1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein SEC14L2 levels,1,1,0,0,1,0
CD209/ICAM2 protein level ratio,1,1,0,0,1,0
CD209/CLEC14A protein level ratio,1,1,0,0,1,0
CD200R1/CLEC4G protein level ratio,1,1,0,0,1,0
Barrett's esophagus or esophageal adenocarcinoma x sex interaction (1df test),1,1,0,0,1,0
Serum interleukin-6 concentration in active individuals,1,1,0,0,1,0
Serum C-reactive protein concentration in visceral obesity (waist-hip ratio),1,1,0,0,1,0
Cerebrospinal fluid protein DKKL1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein DKK4 levels,1,1,0,0,1,0
Cerebrospinal fluid protein TGOLN2 levels,1,1,0,0,1,0
Cerebrospinal fluid protein TNFSF13 levels,1,1,0,0,1,0
Cerebrospinal fluid protein TNFRSF8 levels,1,1,0,0,1,0
Cerebrospinal fluid protein LEFTY2 levels,1,1,0,0,1,0
Cerebrospinal fluid protein LCN15 levels,1,1,0,0,1,0
Cerebrospinal fluid protein LAYN levels,1,1,0,0,1,0
Cerebrospinal fluid protein LARP1 levels,1,1,0,0,1,0
T1 FreeSurfer a2009s rh S temporal sup volume,1,1,0,0,1,0
T1 FreeSurfer a2009s rh S postcentral volume,1,1,0,0,1,0
T1 FreeSurfer a2009s rh S orbital med-olfact volume,1,1,0,0,1,0
T1 FreeSurfer a2009s rh S collat transv ant volume,1,1,0,0,1,0
T1 FreeSurfer a2009s rh Pole occipital volume,1,1,0,0,1,0
DTI autoptx L1 unc l tract,1,1,0,0,1,0
CD209/SELE protein level ratio,1,1,0,0,1,0
Cerebrospinal fluid protein ENTPD5 levels,1,1,0,0,1,0
CLSTN1 protein levels,1,1,0,0,1,0
Cerebrospinal fluid protein MCF2L levels,1,1,0,0,1,0
Cerebrospinal fluid protein MATN3 levels,1,1,0,0,1,0
Cerebrospinal fluid protein SPARC levels,1,1,0,0,1,0
Cerebrospinal fluid protein NCR1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein KIAA0232 levels,1,1,0,0,1,0
Cerebrospinal fluid protein NAAA levels,1,1,0,0,1,0
Cerebrospinal fluid protein MSTN levels,1,1,0,0,1,0
Cerebrospinal fluid protein IL31RA levels,1,1,0,0,1,0
Cerebrospinal fluid protein SMPDL3A levels,1,1,0,0,1,0
Cerebrospinal fluid protein SMPD1 levels,1,1,0,0,1,0
DTI autoptx L1 atr r tract,1,1,0,0,1,0
DTI autoptx FA ml r tract,1,1,0,0,1,0
DTI autoptx FA ml l tract,1,1,0,0,1,0
Cerebrospinal fluid protein LPO levels,1,1,0,0,1,0
Cerebrospinal fluid protein RYK levels,1,1,0,0,1,0
Cerebrospinal fluid protein LMOD1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein SIRPB1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein SIGLEC7 levels,1,1,0,0,1,0
Cerebrospinal fluid protein SIGLEC1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein HDGF levels,1,1,0,0,1,0
Cerebrospinal fluid protein GZMB levels,1,1,0,0,1,0
Cerebrospinal fluid protein GPHA2 levels,1,1,0,0,1,0
Cerebrospinal fluid protein GPC5 levels,1,1,0,0,1,0
Cerebrospinal fluid protein GALNT7 levels,1,1,0,0,1,0
Cerebrospinal fluid protein GALNT2 levels,1,1,0,0,1,0
DTI autoptx L1 slf r tract,1,1,0,0,1,0
DTI autoptx L1 fmi tract,1,1,0,0,1,0
DTI autoptx L1 cst r tract,1,1,0,0,1,0
DTI autoptx L1 cst l tract,1,1,0,0,1,0
DTI autoptx L1 cgc r tract,1,1,0,0,1,0
DTI autoptx L1 cgc l tract,1,1,0,0,1,0
Cerebrospinal fluid protein MDGA1 levels,1,1,0,0,1,0
FAM3B/GPA33 protein level ratio,1,1,0,0,1,0
FAM3B/FUT3_FUT5 protein level ratio,1,1,0,0,1,0
FAM3B/FGF19 protein level ratio,1,1,0,0,1,0
Cerebrospinal fluid protein FUT8 levels,1,1,0,0,1,0
Cerebrospinal fluid protein FSHB levels,1,1,0,0,1,0
Cerebrospinal fluid protein FNDC1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein FLT3LG levels,1,1,0,0,1,0
Cerebrospinal fluid protein FLRT2 levels,1,1,0,0,1,0
Cerebrospinal fluid protein FGFBP3 levels,1,1,0,0,1,0
Cerebrospinal fluid protein KHK levels,1,1,0,0,1,0
Cerebrospinal fluid protein KAZALD1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein ITM2A levels,1,1,0,0,1,0
Triglycerides (44:0) levels,1,1,0,0,1,0
Sphingomyelin (d44:2) levels,1,1,0,0,1,0
Triglycerides (56:9) levels,1,1,0,0,1,0
Cerebrospinal fluid protein SLC38A10 levels,1,1,0,0,1,0
Cerebrospinal fluid protein IFNAR1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein ICOSLG levels,1,1,0,0,1,0
Cerebrospinal fluid protein HSD17B14 levels,1,1,0,0,1,0
Cerebrospinal fluid protein MFRP levels,1,1,0,0,1,0
T1 FreeSurfer DK lh WhiteSurfArea area,1,1,0,0,1,0
T1 FreeSurfer DK lh parstriangularis area,1,1,0,0,1,0
T1 FreeSurfer DK lh lateraloccipital area,1,1,0,0,1,0
T1 FreeSurfer DK lh inferiorparietal area,1,1,0,0,1,0
T1 FreeSurfer DK lh cuneus area,1,1,0,0,1,0
T1 FreeSurfer BA rh V2 exvivo volume,1,1,0,0,1,0
T1 FreeSurfer BA rh BA2 exvivo volume,1,1,0,0,1,0
FCAR/LY96 protein level ratio,1,1,0,0,1,0
FBP1/SIGLEC7 protein level ratio,1,1,0,0,1,0
FBP1/GSTA1 protein level ratio,1,1,0,0,1,0
FAP/LRRN1 protein level ratio,1,1,0,0,1,0
FAM3C/PILRB protein level ratio,1,1,0,0,1,0
REST UKBBICA NODEamps25 0007,1,1,0,0,1,0
REST UKBBICA NODEamps25 0006,1,1,0,0,1,0
REST UKBBICA NODEamps25 0005,1,1,0,0,1,0
REST UKBBICA NODEamps25 0003,1,1,0,0,1,0
REST UKBBICA NODEamps25 0002,1,1,0,0,1,0
T1 CAT WM unnormalised volume,1,1,0,0,1,0
Triglycerides (56:2) levels,1,1,0,0,1,0
Triglycerides (56:1) levels,1,1,0,0,1,0
Triglycerides (54:2)B levels,1,1,0,0,1,0
Triglycerides (53:1) levels,1,1,0,0,1,0
Triglycerides (52:3) levels,1,1,0,0,1,0
Triglycerides (52:1) levels,1,1,0,0,1,0
Triglycerides (51:4) levels,1,1,0,0,1,0
Triglycerides (51:3) levels,1,1,0,0,1,0
Triglycerides (51:1) levels,1,1,0,0,1,0
Triglycerides (50:4) levels,1,1,0,0,1,0
REST UKBBICA NODEamps25 0016,1,1,0,0,1,0
REST UKBBICA NODEamps25 0014,1,1,0,0,1,0
Univariate microbial feature (asv: asv086) at the dorsal forearm (dry skin),1,1,0,0,1,0
Univariate microbial feature (asv: asv013) at the dorsal forearm (dry skin),1,1,0,0,1,0
Univariate microbial feature (genus: paracoccus) at the dorsal forearm (dry skin),1,1,0,0,1,0
Cerebrospinal fluid protein HS3ST3B1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein HNMT levels,1,1,0,0,1,0
Cerebrospinal fluid protein LTK levels,1,1,0,0,1,0
Cerebrospinal fluid protein LAIR2 levels,1,1,0,0,1,0
Cerebrospinal fluid protein KLRD1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein KLK4 levels,1,1,0,0,1,0
Cerebrospinal fluid protein KLK13 levels,1,1,0,0,1,0
Univariate microbial feature (genus: micrococcus) at the dorsal forearm (dry skin),1,1,0,0,1,0
Univariate microbial feature (asv: asv002) at the forehead (sebaceous skin),1,1,0,0,1,0
Univariate microbial feature (family: rhodobacteraceae) at the antecubital fossa (moist skin),1,1,0,0,1,0
Univariate microbial feature (asv: asv070) at the antecubital fossa (moist skin),1,1,0,0,1,0
Cerebrospinal fluid protein IL17RB levels,1,1,0,0,1,0
Cerebrospinal fluid protein IL12B levels,1,1,0,0,1,0
Cerebrospinal fluid protein IL12A_IL12B levels,1,1,0,0,1,0
Cerebrospinal fluid protein OLFM2 levels,1,1,0,0,1,0
Cerebrospinal fluid protein IGSF21 levels,1,1,0,0,1,0
Cerebrospinal fluid protein IFNLR1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein IFNGR2 levels,1,1,0,0,1,0
Cerebrospinal fluid protein TNFRSF12A levels,1,1,0,0,1,0
Cerebrospinal fluid protein TNFRSF11B levels,1,1,0,0,1,0
Cerebrospinal fluid protein KIAA0319 levels,1,1,0,0,1,0
Cerebrospinal fluid protein NTRK1 levels,1,1,0,0,1,0
CNPY2 protein levels,1,1,0,0,1,0
T1 FreeSurfer BA lh BA2 exvivo thickness,1,1,0,0,1,0
T1 FreeSurfer BA lh BA45 exvivo area,1,1,0,0,1,0
T1 FreeSurfer BA lh BA2 exvivo area,1,1,0,0,1,0
REST UKBBICA NODEamps25 0021,1,1,0,0,1,0
T1 FreeSurfer DK lh MeanThickness thickness,1,1,0,0,1,0
T1 FreeSurfer DK lh superiortemporal thickness,1,1,0,0,1,0
T1 FreeSurfer DK lh precentral thickness,1,1,0,0,1,0
CLIC5 protein levels,1,1,0,0,1,0
Cerebrospinal fluid protein OPTC levels,1,1,0,0,1,0
Cerebrospinal fluid protein TAFA3 levels,1,1,0,0,1,0
Cerebrospinal fluid protein VNN1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein VCAM1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein SPON2 levels,1,1,0,0,1,0
Cerebrospinal fluid protein TRIM47 levels,1,1,0,0,1,0
T1 FreeSurfer DK lh lingual thickness,1,1,0,0,1,0
T1 FIRST volume R Caud,1,1,0,0,1,0
T1 FIRST volume L Caud,1,1,0,0,1,0
FGF19/SCG2 protein level ratio,1,1,0,0,1,0
FEN1/PADI4 protein level ratio,1,1,0,0,1,0
FCRL5/ICAM3 protein level ratio,1,1,0,0,1,0
Cerebrospinal fluid protein NUCB2 levels,1,1,0,0,1,0
Cerebrospinal fluid protein LYZL2 levels,1,1,0,0,1,0
Cerebral glucose metabolic decline (left temporal gyrus),1,1,0,0,1,0
Cerebral glucose metabolic decline (right temporal gyrus),1,1,0,0,1,0
T1 CAT volume L LateralOccipitalCortexinferiordivision,1,1,0,0,1,0
T1 CAT volume L SupramarginalGyrusanteriordivision,1,1,0,0,1,0
T1 CAT volume L PostcentralGyrus,1,1,0,0,1,0
REST UKBBICA NET100 0458,1,1,0,0,1,0
T1 FreeSurfer DK rh WhiteSurfArea area,1,1,0,0,1,0
T1 FreeSurfer DK rh posteriorcingulate area,1,1,0,0,1,0
T1 FreeSurfer DK rh parstriangularis area,1,1,0,0,1,0
T1 FreeSurfer DK rh parsorbitalis area,1,1,0,0,1,0
T1 FreeSurfer DK rh inferiorparietal area,1,1,0,0,1,0
T1 FreeSurfer DK rh entorhinal area,1,1,0,0,1,0
T1 FreeSurfer DK lh superiorfrontal volume,1,1,0,0,1,0
T1 FreeSurfer DK lh parstriangularis volume,1,1,0,0,1,0
T1 CAT volume R FrontalOperculumCortex,1,1,0,0,1,0
T1 CAT volume L FrontalOperculumCortex,1,1,0,0,1,0
T1 CAT volume L TemporalOccipitalFusiformCortex,1,1,0,0,1,0
T1 CAT volume R TemporalFusiformCortexposteriordivision,1,1,0,0,1,0
T1 CAT volume L TemporalFusiformCortexposteriordivision,1,1,0,0,1,0
Univariate microbial feature (genus: anaerococcus) at the dorsal forearm (dry skin),1,1,0,0,1,0
Cerebrospinal fluid protein SPON1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein SPINK7 levels,1,1,0,0,1,0
Cerebrospinal fluid protein SPINK2 levels,1,1,0,0,1,0
Cerebrospinal fluid protein MMEL1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein MILR1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein PON2 levels,1,1,0,0,1,0
Cerebrospinal fluid protein POMC levels,1,1,0,0,1,0
Cerebrospinal fluid protein TYRO3 levels,1,1,0,0,1,0
Cerebrospinal fluid protein NUDT16 levels,1,1,0,0,1,0
Cerebrospinal fluid protein NUDCD3 levels,1,1,0,0,1,0
FGR/PADI4 protein level ratio,1,1,0,0,1,0
FGR/LBR protein level ratio,1,1,0,0,1,0
FGFR2/FOLR3 protein level ratio,1,1,0,0,1,0
T1 CAT volume L LeftAccumbens,1,1,0,0,1,0
Cerebrospinal fluid protein VSTM4 levels,1,1,0,0,1,0
Cerebrospinal fluid protein NIT1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein TXNDC15 levels,1,1,0,0,1,0
Cerebrospinal fluid protein TPK1 levels,1,1,0,0,1,0
Cerebrospinal fluid protein TPD52 levels,1,1,0,0,1,0
Cerebrospinal fluid protein PALM2 levels,1,1,0,0,1,0
Cerebrospinal fluid protein LILRB4 levels,1,1,0,0,1,0
Cerebrospinal fluid protein PAEP levels,1,1,0,0,1,0
Childhood diastolic blood pressure (MTAG),1,1,0,0,1,0
T1 CAT volume L LeftHippocampus,1,1,0,0,1,0
T1 CAT volume R RightThalamus,1,1,0,0,1,0
T1 CAT volume L PlanumPolare,1,1,0,0,1,0
diarrhoeal disease at age 1 with doctor diagnosis,1,1,0,0,1,0
Cadherin-5 levels (CDH5.2819.23.2),1,1,0,0,1,0
Cadherin-3 levels (CDH3.2643.57.2),1,1,0,0,1,0
Cadherin-12 levels (CDH12.10701.30.3),1,1,0,0,1,0
C-X-C motif chemokine 5 levels (CXCL5.2979.8.2),1,1,0,0,1,0
C-X-C motif chemokine 16 levels (CXCL16.2436.49.4),1,1,0,0,1,0
Triglycerides (58:9) levels,1,1,0,0,1,0
Hydroxyvalerylcarnitine levels,1,1,0,0,1,0
Symmetric dimethylarginine levels,1,1,0,0,1,0
Triglycerides (58:5) levels,1,1,0,0,1,0
Triglycerides (44:2) levels,1,1,0,0,1,0
APEX1/LSP1 protein level ratio,1,1,0,0,1,0
APEX1/GPKOW protein level ratio,1,1,0,0,1,0
APEX1/FUS protein level ratio,1,1,0,0,1,0
APEX1/DPY30 protein level ratio,1,1,0,0,1,0
FHIT/GLOD4 protein level ratio,1,1,0,0,1,0
APP/EGF protein level ratio,1,1,0,0,1,0
APP/DAG1 protein level ratio,1,1,0,0,1,0
T1 FreeSurfer pial rh parsorbitalis area,1,1,0,0,1,0
T1 FreeSurfer pial rh lateraloccipital area,1,1,0,0,1,0
T1 FreeSurfer pial rh inferiorparietal area,1,1,0,0,1,0
T1 FreeSurfer pial lh superiorparietal area,1,1,0,0,1,0
T1 FreeSurfer pial lh superiorfrontal area,1,1,0,0,1,0
T1 FreeSurfer pial lh parstriangularis area,1,1,0,0,1,0
T1 FreeSurfer pial lh lateraloccipital area,1,1,0,0,1,0
T1 FreeSurfer DK rh supramarginal volume,1,1,0,0,1,0
T1 FreeSurfer DK rh posteriorcingulate volume,1,1,0,0,1,0
T1 FreeSurfer DK rh pericalcarine volume,1,1,0,0,1,0
T1 FreeSurfer DK rh parsorbitalis volume,1,1,0,0,1,0
T1 FreeSurfer DK rh lateraloccipital volume,1,1,0,0,1,0
T1 FreeSurfer DK rh isthmuscingulate volume,1,1,0,0,1,0
T1 FreeSurfer DK rh fusiform volume,1,1,0,0,1,0
Metabolite peak levels (QI12000),1,1,0,0,1,0
Sleep efficiency,1,1,0,0,1,0
Obesity class II and Anorexia nervosa or Major depressive disorder or Obsesive-compulsive disorder,1,1,0,0,1,0
Obesity class II and Anorexia nervosa or Major depressive disorder,1,1,0,0,1,0
EGF-like module-containing mucin-like hormone receptor-like 2 levels,1,0,1,0,1,1
C-type mannose receptor 2 levels (MRC2.3041.55.2),1,1,0,0,1,0
C-type lectin domain family 5 member A levels (CLEC5A.8282.15.3),1,1,0,0,1,0
C-type lectin domain family 4 member M levels (CLEC4M.3030.3.2),1,1,0,0,1,0
40S ribosomal protein SA levels (RPSA.4957.1.2),1,1,0,0,1,0
"40S ribosomal protein S4, X isoform levels (RPS4X.9758.17.3)",1,1,0,0,1,0
40S ribosomal protein S3a levels (RPS3A.5484.63.3),1,1,0,0,1,0
T1 FreeSurfer DKT lh lingual thickness,1,1,0,0,1,0
T1 FreeSurfer DKT lh parstriangularis area,1,1,0,0,1,0
T1 FreeSurfer DKT lh lateraloccipital area,1,1,0,0,1,0
T1 FreeSurfer DKT lh inferiorparietal area,1,1,0,0,1,0
T1 FreeSurfer aseg MaskVol-to-eTIV,1,1,0,0,1,0
FST/FSTL3 protein level ratio,1,1,0,0,1,0
Thrombin-induced platelet aggregation,1,1,0,0,1,0
Cognitive decline in depression,1,1,0,0,1,0
Cognitive impairment in depression,1,1,0,0,1,0
Metabolite peak levels (QI11418),1,1,0,0,1,0
Circulating TP53 levels,1,1,0,0,1,0
"cGMP-specific 3',5'-cyclic phosphodiesterase levels",1,0,1,0,1,1
Polycystic ovary syndrome (indeterminate subtype),1,1,0,0,1,0
FOXO3/MAP3K5 protein level ratio,1,1,0,0,1,0
