Disease/Trait,Total Mapped Genes,EUR-Only Genes,Shared Genes,SAS-Only Genes,Total EUR Genes,Total SAS Genes
Body mass index (UKB data field 21001),352,352,0,0,352,0
Neutrophils and lymphocytes in blood (confirmatory factor analysis Factor 35),351,351,0,0,351,0
Creatinine levels (UKB data field 30700),351,351,0,0,351,0
Free androgen index,348,348,0,0,348,0
Free Cholesterol to Cholesteryl Esters in Medium VLDL ratio,347,347,0,0,347,0
Total lipids in large HDL,347,33,314,0,347,314
Glycoprotein acetyls levels,346,131,215,0,346,215
Cholesteryl Esters to Total Lipids in Large HDL percentage,346,33,313,0,346,313
Post bronchodilator FEV1,346,346,0,0,346,0
Whole brain restricted directional diffusion (multivariate analysis),346,346,0,0,346,0
Docosahexaenoic acid to total fatty acids percentage,345,8,337,0,345,337
"mean corpuscular volume (MCV, maximum, inv-norm transformed)",344,344,0,0,344,0
FEV1 FVC ratio Z score (UKB data field 20258),344,344,0,0,344,0
Age when finished full-time education (standard GWA),344,344,0,0,344,0
"white blood cell count (WBC, minimum, inv-norm transformed)",344,344,0,0,344,0
Free cholesterol in large HDL,342,35,307,0,342,307
Birth weight,341,341,0,0,341,0
"monocyte (fraction, mean, inv-norm transformed)",340,340,0,0,340,0
Gut microbial network clusters (Salmon (at 1 year) x Household furry pet dog (1 Year) interaction,340,0,340,0,340,340
Type 1 diabetes,340,340,0,0,340,0
"mean corpuscular hemoglobin (MCH, minimum, inv-norm transformed)",340,340,0,0,340,0
Triglyceride levels (UKB data field 30870),339,339,0,0,339,0
Morning person,339,339,0,0,339,0
Restless legs syndrome,338,338,0,0,338,0
Hypertension (confirmatory factor analysis Factor 12),337,337,0,0,337,0
Concentration of very large HDL particles,337,63,274,0,337,274
Morningness,336,336,0,0,336,0
Cognitive aspects of educational attainment,336,336,0,0,336,0
3-hydroxypropylmercapturic acid levels in smokers,336,336,0,0,336,0
Primary open angle glaucoma (MTAG),336,336,0,0,336,0
Phospholipids in very large HDL,336,27,309,0,336,309
"Weight (minimum, inv-normal transformed)",334,334,0,0,334,0
"eosinophil (fraction, mean, inv-norm transformed)",333,333,0,0,333,0
Memory decline in normal cognition,332,332,0,0,332,0
Neutrophill percentage (UKB data field 30200),332,332,0,0,332,0
Memory decline,331,331,0,0,331,0
Platelet-to-lymphocyte ratio,331,331,0,0,331,0
3-hydroxy-1-methylpropylmercapturic acid levels in smokers,331,331,0,0,331,0
Osteoarthritis,331,21,310,0,331,310
Polyunsaturated fatty acids to saturated fatty acids ratio,329,0,329,0,329,329
Depressive symptoms,328,328,0,0,328,0
Total lipids in very large HDL,328,24,304,0,328,304
"mean platelet volume (MPV, mean, inv-norm transformed)",326,326,0,0,326,0
Triglycerides in small HDL,326,26,300,0,326,300
Cholesteryl Esters in HDL,326,42,284,0,326,284
Free Cholesterol to Total Lipids in Large LDL percentage,325,28,297,0,325,297
"Cognitive ability, years of educational attainment or schizophrenia (pleiotropy)",325,325,0,0,325,0
Metabolic biomarkers (multivariate analysis),325,325,0,0,325,0
Lung function (forced vital capacity),324,3,321,0,324,321
Fluid intelligence,324,324,0,0,324,0
Cholesterol esters in very large HDL,323,0,323,0,323,323
Lung cancer,323,323,0,0,323,0
Sex hormone-binding globulin levels adjusted for BMI and heel estimated bone mineral density,323,323,0,0,323,0
PR interval,322,322,0,0,322,0
Major depressive disorder (broad),322,13,309,0,322,309
Diverticular disease,321,132,189,0,321,189
Triglycerides to Total Lipids in Small HDL percentage,320,38,282,0,320,282
Neutrophill count (UKB data field 30140),319,319,0,0,319,0
Heart failure,318,230,88,0,318,88
"mean platelet volume (MPV, maximum, inv-norm transformed)",318,318,0,0,318,0
Non-albumin protein levels,318,0,318,0,318,318
Phospholipids in large HDL,317,33,284,0,317,284
Risk-taking behavior (multivariate analysis),316,316,0,0,316,0
COVID-19,315,6,309,0,315,309
Haemoglobin concentration (UKB data field 30020),315,315,0,0,315,0
Hip circumference (UKB data field 49),314,314,0,0,314,0
Saturated fatty acids to total fatty acids percentage,314,0,314,0,314,314
"heart rate (HR, mean, inv-normal transformed)",313,313,0,0,313,0
COVID-19 (covid vs negative),313,46,267,0,313,267
Medication use (agents acting on the renin-angiotensin system),313,313,0,0,313,0
Triglycerides to Total Lipids in Very Large HDL percentage,312,22,290,0,312,290
Phospholipids to Total Lipids in Medium HDL percentage,312,24,288,0,312,288
Cholesterol to Total Lipids in Medium HDL percentage,312,37,275,0,312,275
"monocyte (absolute count, mean, inv-norm transformed)",311,311,0,0,311,0
Asthma (childhood onset),311,311,0,0,311,0
Itch intensity from mosquito bite adjusted by bite size,309,309,0,0,309,0
Free Cholesterol to Total Lipids in Medium LDL percentage,308,22,286,0,308,286
C-reactive protein,307,299,8,0,307,8
Leukocyte telomere length,305,305,0,0,305,0
Average diameter for VLDL particles,303,63,240,0,303,240
Free cholesterol in very large HDL,300,22,278,0,300,278
Night sleep phenotypes,299,299,0,0,299,0
"red blood cell count (RBC, maximum, inv-norm transformed)",299,299,0,0,299,0
Concentration of medium HDL particles,299,51,248,0,299,248
Migraine,299,181,118,0,299,118
Triglycerides to Total Lipids in Large HDL percentage,297,33,264,0,297,264
"red cell diameter width (RDW, minimum, inv-norm transformed)",296,296,0,0,296,0
Smoking status (ever vs never smokers),293,293,0,0,293,0
